SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0    4.4448   -4.2202  1    0.0000    0.0000
1   12.8354  -12.1981  1    0.0000    0.0000
2   11.3687  -10.7955  1    0.0000    0.0000
3   12.1584  -11.5545  1    0.0000    0.0000
4   11.6611  -11.0802  1    0.0000    0.0000
5   11.9882  -11.3822  1    0.0000    0.0000
6   11.7994  -11.1904  1    0.0000    0.0000
7   11.9230  -11.2891  1    0.0000    0.0000
8   11.8461  -11.2384  1    0.0000    0.0000
9   11.8978  -11.2680  1    0.0000    0.0000
10   11.8900  -11.2544  1    0.0000    0.0000
11   11.8945  -11.2398  1    0.0000    0.0000
12   11.8831  -11.2396  1    0.0000    0.0000
13   11.8960  -11.2527  1    0.0000    0.0000
14   11.8929  -11.2581  1    0.0000    0.0000
15   11.8768  -11.2707  1    0.0000    0.0000
16   11.8879  -11.2784  1    0.0000    0.0000
17   11.8768  -11.2768  1    0.0000    0.0000
18   11.8844  -11.2806  1    0.0000    0.0000
19   11.8937  -11.2872  1    0.0000    0.0000
20   11.8927  -11.2885  1    0.0000    0.0000
21   11.8937  -11.2971  1    0.0000    0.0000
22   11.8973  -11.3007  1    0.0000    0.0000
23   11.8932  -11.3030  1    0.0000    0.0000
24   11.8956  -11.3118  1    0.0000    0.0000
25   11.9146  -11.3144  1    0.0000    0.0000
26   11.9038  -11.3144  1    0.0000    0.0000
27   11.8879  -11.2981  1    0.0000    0.0000
28   11.8931  -11.3116  1    0.0000    0.0000
29   11.9101  -11.3194  1    0.0000    0.0000
30   11.9026  -11.3165  1    0.0000    0.0000
31   11.9160  -11.3101  1    0.0000    0.0000
32   11.8973  -11.3069  1    0.0000    0.0000
33   11.8891  -11.3030  1    0.0000    0.0000
34   11.8974  -11.3038  1    0.0000    0.0000
35   11.8939  -11.3124  1    0.0000    0.0000
36   11.8859  -11.3065  1    0.0000    0.0000
37   11.8978  -11.3156  1    0.0000    0.0000
38   11.8978  -11.3041  1    0.0000    0.0000
39   11.9057  -11.3003  1    0.0000    0.0000
40   11.9193  -11.2880  1    0.0000    0.0000
41   11.9366  -11.2552  1    0.0000    0.0000
42   11.9718  -11.2548  1    0.0000    0.0000
43   11.9700  -11.2476  1    0.0000    0.0000
44   11.9554  -11.2303  1    0.0000    0.0000
45   11.9658  -11.2288  1    0.0000    0.0000
46   11.9838  -11.2310  1    0.0000    0.0000
47   11.9762  -11.2179  1    0.0000    0.0000
48   11.9648  -11.2382  1    0.0000    0.0000
49   11.5962  -11.0499  1    0.0000    0.0000
50   10.5639  -10.4399  1    0.0000    0.0000
51    9.2997   -9.5641  1    0.0000    0.0000
52    7.8606   -8.2607  1    0.0000    0.0000
53    6.6815   -6.9174  1    0.0000    0.0000
54    5.5606   -5.5649  1    0.0000    0.0000
55    4.3275   -4.1683  1    0.0000    0.0000
56    3.2219   -2.9576  1    0.0000    0.0000
57    1.8768   -1.9457  1    0.0000    0.0000
58    0.6780   -1.0254  1    0.0000    0.0000
59   -0.2811   -0.4274  1    0.0000    0.0000
60   -0.7976   -0.2077  1    0.0000    0.0000
61   -0.7443   -0.2030  1    0.0000    0.0000
62   -0.6266   -0.2170  1    0.0000    0.0000
63   -0.5407   -0.1654  1    0.0000    0.0000
64   -0.5687   -0.1457  1    0.0000    0.0000
65   -0.6746   -0.0929  1    0.0000    0.0000
66   -0.7393   -0.0292  1    0.0000    0.0000
67   -0.7309    0.0098  1    0.0000    0.0000
68   -0.7384    0.0278  1    0.0000    0.0000
69   -0.7360    0.0148  1    0.0000    0.0000
70   -0.6864   -0.0312  1    0.0000    0.0000
71   -0.6385   -0.0379  1    0.0000    0.0000
72   -0.6202   -0.0561  1    0.0000    0.0000
73   -0.6078   -0.1005  1    0.0000    0.0000
74   -0.5941   -0.0983  1    0.0000    0.0000
75   -0.5768   -0.0911  1    0.0000    0.0000
76   -0.5995   -0.1036  1    0.0000    0.0000
77   -0.6035   -0.0998  1    0.0000    0.0000
78   -0.5997   -0.0997  1    0.0000    0.0000
79   -0.6172   -0.0879  1    0.0000    0.0000
80   -0.6417   -0.0479  1    0.0000    0.0000
81   -0.6532   -0.0398  1    0.0000    0.0000
82   -0.6500   -0.0280  1    0.0000    0.0000
83   -0.6387   -0.0193  1    0.0000    0.0000
84   -0.6314   -0.0227  1    0.0000    0.0000
85   -0.6247   -0.0157  1    0.0000    0.0000
86   -0.6284   -0.0144  1    0.0000    0.0000
87   -0.6310   -0.0145  1    0.0000    0.0000
88   -0.6161   -0.0051  1    0.0000    0.0000
89   -0.6050   -0.0039  1    0.0000    0.0000
90   -0.5984    0.0166  1    0.0000    0.0000
91   -0.6080    0.0243  1    0.0000    0.0000
92   -0.6152    0.0238  1    0.0000    0.0000
93   -0.6121    0.0396  1    0.0000    0.0000
94   -0.6143    0.0426  1    0.0000    0.0000
95   -0.6176    0.0310  1    0.0000    0.0000
96   -0.6229    0.0505  1    0.0000    0.0000
97   -0.6234    0.0589  1    0.0000    0.0000
98   -0.6243    0.0456  1    0.0000    0.0000
99   -0.6271    0.0480  1    0.0000    0.0000
100   -0.6193    0.0494  1    0.0000    0.0000
101   -0.6240    0.0623  1    0.0000    0.0000
102   -0.6214    0.0526  1    0.0000    0.0000
103   -0.6145    0.0485  1    0.0000    0.0000
104   -0.6024    0.0662  1    0.0000    0.0000
105   -0.5970    0.0572  1    0.0000    0.0000
106   -0.5929    0.0313  1    0.0000    0.0000
107   -0.5924    0.0363  1    0.0000    0.0000
108   -0.5989    0.0426  1    0.0000    0.0000
109   -0.5931    0.0563  1    0.0000    0.0000
110   -0.6008    0.0612  1    0.0000    0.0000
111   -0.5988    0.0643  1    0.0000    0.0000
112   -0.5757    0.0645  1    0.0000    0.0000
113   -0.5842    0.0680  1    0.0000    0.0000
114   -0.5804    0.0671  1    0.0000    0.0000
115   -0.5134    0.0413  1    0.0000    0.0000
116   -0.3843   -0.0172  1    0.0000    0.0000
117   -0.3353   -0.0414  1    0.0000    0.0000
118   -0.4161   -0.0475  1    0.0000    0.0000
119   -0.4368   -0.0156  1    0.0000    0.0000
120   -0.4527    0.0092  1    0.0000    0.0000
121   -0.4688   -0.0113  1    0.0000    0.0000
122   -0.4635   -0.0003  1    0.0000    0.0000
123   -0.4336   -0.0279  1    0.0000    0.0000
124   -0.4330    0.0029  1    0.0000    0.0000
125   -0.4287   -0.0007  1    0.0000    0.0000
126   -0.4140   -0.0196  1    0.0000    0.0000
127   -0.4145    0.0047  1    0.0000    0.0000
128   -0.4064    0.0062  1    0.0000    0.0000
129   -0.4034    0.0067  1    0.0000    0.0000
130   -0.3880    0.0150  1    0.0000    0.0000
131   -0.3727    0.0127  1    0.0000    0.0000
132   -0.3784    0.0061  1    0.0000    0.0000
133   -0.3746    0.0206  1    0.0000    0.0000
134   -0.3727    0.0100  1    0.0000    0.0000
135   -0.3503    0.0013  1    0.0000    0.0000
136   -0.3645    0.0282  1    0.0000    0.0000
137   -0.3637    0.0101  1    0.0000    0.0000
138   -0.3613    0.0043  1    0.0000    0.0000
139   -0.3622    0.0223  1    0.0000    0.0000
140   -0.3481    0.0371  1    0.0000    0.0000
141   -0.3479    0.0430  1    0.0000    0.0000
142   -0.3418    0.0402  1    0.0000    0.0000
