SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -4.4035    2.4649  1    0.0000    0.0000
1  -12.7160    7.0776  1    0.0000    0.0000
2  -11.3341    6.2983  1    0.0000    0.0000
3  -12.5931    6.8909  1    0.0000    0.0000
4  -12.8304    6.9354  1    0.0000    0.0000
5  -14.1404    7.5134  1    0.0000    0.0000
6  -14.9254    7.6328  1    0.0000    0.0000
7  -15.5965    7.7442  1    0.0000    0.0000
8  -15.7700    7.6637  1    0.0000    0.0000
9  -15.7890    7.6044  1    0.0000    0.0000
10  -15.6796    7.5757  1    0.0000    0.0000
11  -15.6136    7.5716  1    0.0000    0.0000
12  -15.5918    7.5619  1    0.0000    0.0000
13  -15.6161    7.5763  1    0.0000    0.0000
14  -15.6835    7.5725  1    0.0000    0.0000
15  -15.7177    7.5851  1    0.0000    0.0000
16  -15.7050    7.5818  1    0.0000    0.0000
17  -15.6888    7.5845  1    0.0000    0.0000
18  -15.6821    7.6023  1    0.0000    0.0000
19  -15.6815    7.6001  1    0.0000    0.0000
20  -15.6971    7.5895  1    0.0000    0.0000
21  -15.7041    7.5867  1    0.0000    0.0000
22  -15.7072    7.5954  1    0.0000    0.0000
23  -15.7206    7.6059  1    0.0000    0.0000
24  -15.7221    7.6179  1    0.0000    0.0000
25  -15.7351    7.6246  1    0.0000    0.0000
26  -15.7295    7.6704  1    0.0000    0.0000
27  -15.7284    7.6723  1    0.0000    0.0000
28  -15.7525    7.6941  1    0.0000    0.0000
29  -15.7504    7.7117  1    0.0000    0.0000
30  -15.7482    7.7139  1    0.0000    0.0000
31  -15.7462    7.7176  1    0.0000    0.0000
32  -15.7634    7.7211  1    0.0000    0.0000
33  -15.7693    7.7432  1    0.0000    0.0000
34  -15.7790    7.7583  1    0.0000    0.0000
35  -15.8060    7.7721  1    0.0000    0.0000
36  -15.8068    7.7765  1    0.0000    0.0000
37  -15.7812    7.7816  1    0.0000    0.0000
38  -15.7686    7.7679  1    0.0000    0.0000
39  -15.7933    7.7889  1    0.0000    0.0000
40  -15.7872    7.7883  1    0.0000    0.0000
41  -15.7765    7.7929  1    0.0000    0.0000
42  -15.7780    7.7839  1    0.0000    0.0000
43  -15.7834    7.7915  1    0.0000    0.0000
44  -15.8019    7.7791  1    0.0000    0.0000
45  -15.7889    7.7752  1    0.0000    0.0000
46  -15.7744    7.7711  1    0.0000    0.0000
47  -15.7748    7.7741  1    0.0000    0.0000
48  -15.7634    7.7717  1    0.0000    0.0000
49  -15.7738    7.7637  1    0.0000    0.0000
50  -15.7437    7.7461  1    0.0000    0.0000
51  -15.7689    7.7416  1    0.0000    0.0000
52  -15.7884    7.7576  1    0.0000    0.0000
53  -15.8164    7.7681  1    0.0000    0.0000
54  -15.8190    7.7913  1    0.0000    0.0000
55  -15.8252    7.8184  1    0.0000    0.0000
56  -15.8159    7.8373  1    0.0000    0.0000
57  -15.8194    7.8332  1    0.0000    0.0000
58  -15.8392    7.8409  1    0.0000    0.0000
59  -15.8354    7.8638  1    0.0000    0.0000
60  -15.8199    7.8513  1    0.0000    0.0000
61  -15.8353    7.8687  1    0.0000    0.0000
62  -15.8536    7.8665  1    0.0000    0.0000
63  -15.8617    7.8723  1    0.0000    0.0000
64  -15.8421    7.8577  1    0.0000    0.0000
65  -15.8309    7.8458  1    0.0000    0.0000
66  -15.8316    7.8417  1    0.0000    0.0000
67  -15.8144    7.8117  1    0.0000    0.0000
68  -15.8199    7.8173  1    0.0000    0.0000
69  -15.7973    7.8827  1    0.0000    0.0000
70  -15.5085    7.8746  1    0.0000    0.0000
71  -14.4935    7.7666  1    0.0000    0.0000
72  -13.3194    7.3940  1    0.0000    0.0000
73  -11.8749    6.7483  1    0.0000    0.0000
74  -10.0240    6.1868  1    0.0000    0.0000
75   -8.2976    5.3099  1    0.0000    0.0000
76   -6.5588    4.3219  1    0.0000    0.0000
77   -4.9760    3.4862  1    0.0000    0.0000
78   -3.6540    2.8425  1    0.0000    0.0000
79   -2.5586    2.3341  1    0.0000    0.0000
80   -1.6326    1.9298  1    0.0000    0.0000
81   -1.1264    1.6212  1    0.0000    0.0000
82   -1.0888    1.5154  1    0.0000    0.0000
83   -1.3208    1.6029  1    0.0000    0.0000
84   -1.4214    1.6742  1    0.0000    0.0000
85   -1.3937    1.6934  1    0.0000    0.0000
86   -1.3213    1.6795  1    0.0000    0.0000
87   -1.2714    1.6702  1    0.0000    0.0000
88   -1.2765    1.6744  1    0.0000    0.0000
89   -1.2842    1.6629  1    0.0000    0.0000
90   -1.3013    1.6616  1    0.0000    0.0000
91   -1.3076    1.6731  1    0.0000    0.0000
92   -1.3025    1.6703  1    0.0000    0.0000
