SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -5.9551    2.1219  1    0.0000    0.0000
1  -17.1747    6.1350  1    0.0000    0.0000
2  -15.1895    5.4119  1    0.0000    0.0000
3  -16.2497    5.8413  1    0.0000    0.0000
4  -15.5743    5.6079  1    0.0000    0.0000
5  -15.9895    5.7228  1    0.0000    0.0000
6  -15.7205    5.7166  1    0.0000    0.0000
7  -15.9018    6.1265  1    0.0000    0.0000
8  -15.8203    6.7665  1    0.0000    0.0000
9  -15.7995    7.3316  1    0.0000    0.0000
10  -15.7031    7.6219  1    0.0000    0.0000
11  -15.6865    7.8548  1    0.0000    0.0000
12  -15.6873    8.0159  1    0.0000    0.0000
13  -15.6961    8.0177  1    0.0000    0.0000
14  -15.6699    8.0393  1    0.0000    0.0000
15  -15.6568    8.0552  1    0.0000    0.0000
16  -15.6490    8.0376  1    0.0000    0.0000
17  -15.6223    8.0169  1    0.0000    0.0000
18  -15.6191    7.9997  1    0.0000    0.0000
19  -15.5917    8.0035  1    0.0000    0.0000
20  -15.5869    8.0115  1    0.0000    0.0000
21  -15.5840    8.0294  1    0.0000    0.0000
22  -15.5614    8.0319  1    0.0000    0.0000
23  -15.5501    8.0367  1    0.0000    0.0000
24  -15.5282    8.0332  1    0.0000    0.0000
25  -15.5362    8.0294  1    0.0000    0.0000
26  -15.5378    8.0610  1    0.0000    0.0000
27  -15.5300    8.0733  1    0.0000    0.0000
28  -15.5244    8.0695  1    0.0000    0.0000
29  -15.5143    8.1016  1    0.0000    0.0000
30  -15.5294    8.1042  1    0.0000    0.0000
31  -15.5089    8.1296  1    0.0000    0.0000
32  -15.5034    8.1416  1    0.0000    0.0000
33  -15.5180    8.1439  1    0.0000    0.0000
34  -15.4995    8.2013  1    0.0000    0.0000
35  -15.4865    8.1558  1    0.0000    0.0000
36  -15.4925    8.1361  1    0.0000    0.0000
37  -15.4802    8.1514  1    0.0000    0.0000
38  -15.4657    8.1375  1    0.0000    0.0000
39  -15.4676    8.1452  1    0.0000    0.0000
40  -15.4588    8.1396  1    0.0000    0.0000
41  -15.4596    8.1524  1    0.0000    0.0000
42  -15.4369    8.1723  1    0.0000    0.0000
43  -15.4455    8.1567  1    0.0000    0.0000
44  -15.4570    8.1473  1    0.0000    0.0000
45  -15.4528    8.1514  1    0.0000    0.0000
46  -15.4395    8.1621  1    0.0000    0.0000
47  -15.4411    8.1521  1    0.0000    0.0000
48  -15.4373    8.1441  1    0.0000    0.0000
49  -15.4409    8.1227  1    0.0000    0.0000
50  -15.4359    8.1254  1    0.0000    0.0000
51  -15.4315    8.1164  1    0.0000    0.0000
52  -15.4290    8.1210  1    0.0000    0.0000
53  -15.4227    8.1315  1    0.0000    0.0000
54  -15.4384    8.1141  1    0.0000    0.0000
55  -15.4317    8.1440  1    0.0000    0.0000
56  -15.4259    8.1465  1    0.0000    0.0000
57  -15.4294    8.1311  1    0.0000    0.0000
58  -15.4232    8.1434  1    0.0000    0.0000
59  -15.4157    8.1590  1    0.0000    0.0000
60  -15.4125    8.1547  1    0.0000    0.0000
61  -15.4077    8.1619  1    0.0000    0.0000
62  -15.4035    8.1498  1    0.0000    0.0000
63  -15.4046    8.1582  1    0.0000    0.0000
64  -15.4087    8.1771  1    0.0000    0.0000
65  -15.4028    8.1804  1    0.0000    0.0000
66  -15.4062    8.1771  1    0.0000    0.0000
67  -15.3910    8.1790  1    0.0000    0.0000
68  -15.3983    8.1583  1    0.0000    0.0000
69  -15.4006    8.1788  1    0.0000    0.0000
70  -15.3940    8.1725  1    0.0000    0.0000
71  -15.3897    8.1851  1    0.0000    0.0000
72  -15.3804    8.2055  1    0.0000    0.0000
73  -15.3705    8.2088  1    0.0000    0.0000
74  -15.3487    8.1911  1    0.0000    0.0000
75  -15.3468    8.1857  1    0.0000    0.0000
76  -15.3479    8.1876  1    0.0000    0.0000
77  -15.3308    8.1695  1    0.0000    0.0000
78  -15.3246    8.1724  1    0.0000    0.0000
79  -15.3289    8.1527  1    0.0000    0.0000
80  -15.3245    8.1720  1    0.0000    0.0000
81  -15.3223    8.1736  1    0.0000    0.0000
82  -15.3265    8.1608  1    0.0000    0.0000
83  -15.3182    8.1769  1    0.0000    0.0000
84  -15.3117    8.1555  1    0.0000    0.0000
85  -15.3188    8.1520  1    0.0000    0.0000
86  -15.3076    8.1315  1    0.0000    0.0000
87  -15.2892    8.1249  1    0.0000    0.0000
88  -14.8865    8.0586  1    0.0000    0.0000
89  -13.9926    7.9729  1    0.0000    0.0000
90  -12.7327    7.7633  1    0.0000    0.0000
91  -11.3554    7.5747  1    0.0000    0.0000
92   -9.9262    7.4967  1    0.0000    0.0000
93   -8.6486    7.4745  1    0.0000    0.0000
94   -7.4287    7.6325  1    0.0000    0.0000
95   -6.3432    7.5821  1    0.0000    0.0000
96   -5.6573    7.4980  1    0.0000    0.0000
97   -5.1286    7.5405  1    0.0000    0.0000
98   -4.9772    7.5990  1    0.0000    0.0000
99   -5.0384    7.6567  1    0.0000    0.0000
100   -5.0772    7.6732  1    0.0000    0.0000
101   -5.0060    7.6529  1    0.0000    0.0000
102   -4.9550    7.6767  1    0.0000    0.0000
103   -4.9355    7.6723  1    0.0000    0.0000
104   -4.9213    7.6698  1    0.0000    0.0000
105   -4.9028    7.6557  1    0.0000    0.0000
106   -4.9026    7.6536  1    0.0000    0.0000
107   -4.9240    7.6413  1    0.0000    0.0000
108   -4.9155    7.6334  1    0.0000    0.0000
109   -4.9243    7.6299  1    0.0000    0.0000
110   -4.9402    7.6258  1    0.0000    0.0000
111   -4.9316    7.6379  1    0.0000    0.0000
112   -4.9315    7.6209  1    0.0000    0.0000
113   -4.9172    7.6384  1    0.0000    0.0000
114   -4.8923    7.6624  1    0.0000    0.0000
115   -4.8929    7.6283  1    0.0000    0.0000
116   -4.8834    7.6025  1    0.0000    0.0000
117   -4.8682    7.6042  1    0.0000    0.0000
118   -4.8624    7.6008  1    0.0000    0.0000
119   -4.8514    7.6203  1    0.0000    0.0000
120   -4.8466    7.6427  1    0.0000    0.0000
121   -4.8391    7.6467  1    0.0000    0.0000
122   -4.8215    7.6605  1    0.0000    0.0000
123   -4.8141    7.6201  1    0.0000    0.0000
124   -4.8229    7.6519  1    0.0000    0.0000
125   -4.8395    7.6624  1    0.0000    0.0000
126   -4.8516    7.6392  1    0.0000    0.0000
127   -4.8542    7.6567  1    0.0000    0.0000
128   -4.8463    7.6583  1    0.0000    0.0000
129   -4.8591    7.6668  1    0.0000    0.0000
130   -4.8372    7.6523  1    0.0000    0.0000
131   -4.8076    7.6687  1    0.0000    0.0000
132   -4.8209    7.6671  1    0.0000    0.0000
133   -4.8120    7.6354  1    0.0000    0.0000
134   -4.8001    7.6361  1    0.0000    0.0000
135   -4.7920    7.6487  1    0.0000    0.0000
136   -4.7920    7.6450  1    0.0000    0.0000
137   -4.7786    7.6499  1    0.0000    0.0000
138   -4.7799    7.6718  1    0.0000    0.0000
139   -4.7665    7.6937  1    0.0000    0.0000
140   -4.7496    7.6834  1    0.0000    0.0000
141   -4.7538    7.6696  1    0.0000    0.0000
142   -4.7465    7.6770  1    0.0000    0.0000
143   -4.7600    7.7300  1    0.0000    0.0000
144   -4.7572    7.7288  1    0.0000    0.0000
145   -4.6862    7.7611  0    0.0000    0.0000
146   -4.6267    7.6767  0    0.0000    0.0000
147   -4.5893    7.6797  0    0.0000    0.0000
148   -4.7068    7.4698  0    0.0000    0.0000
149   -4.7660    7.3614  0    0.0000    0.0000
150   -5.4723    4.8436  0    0.0000    0.0000
151   -5.7971    1.2462  0    0.0000    0.0000
152   -5.1819   -4.4573  0    0.0000    0.0000
153    5.1310  -10.5938  0    0.0000    0.0000
154    8.6360  -12.7407  0    0.0000    0.0000
155    7.2716  -14.0894  0    0.0000    0.0000
156    7.7509  -13.8221  0    0.0000    0.0000
157    7.4599  -13.9799  0    0.0000    0.0000
158    7.6463  -13.8815  0    0.0000    0.0000
159    7.5264  -13.9426  0    0.0000    0.0000
160    7.6017  -13.9055  0    0.0000    0.0000
161    7.5572  -13.9249  0    0.0000    0.0000
162    7.6179  -13.9183  0    0.0000    0.0000
163    7.4925  -13.9091  0    0.0000    0.0000
164    7.7151  -13.9328  0    0.0000    0.0000
165    7.3196  -13.8853  0    0.0000    0.0000
166    7.9922  -13.9710  0    0.0000    0.0000
167    6.9118  -13.8308  0    0.0000    0.0000
168    8.6153  -14.0588  0    0.0000    0.0000
169    5.8773  -13.6890  0    0.0000    0.0000
170   10.7560  -14.3476  0    0.0000    0.0000
171  -12.3822  -11.2515  0    0.0000    0.0000
172  -11.1327   -9.1990  0    0.0000    0.0000
173    4.0662   -6.8721  0    0.0000    0.0000
174    5.8467   -4.8547  0    0.0000    0.0000
175   -2.1785   -2.1347  0    0.0000    0.0000
176   -9.7982    0.7435  0    0.0000    0.0000
