SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -1.7828    2.9193  1    0.0000    0.0000
1   -5.1352    8.4385  1    0.0000    0.0000
2   -4.5043    7.4840  1    0.0000    0.0000
3   -4.7884    8.0187  1    0.0000    0.0000
4   -4.5418    7.6959  1    0.0000    0.0000
5   -4.6566    7.8705  1    0.0000    0.0000
6   -4.5674    7.7436  1    0.0000    0.0000
7   -4.5881    7.8497  1    0.0000    0.0000
8   -4.5436    7.7936  1    0.0000    0.0000
9   -4.5415    7.8480  1    0.0000    0.0000
10   -4.5337    7.8366  1    0.0000    0.0000
11   -4.5369    7.8450  1    0.0000    0.0000
12   -4.5113    7.8680  1    0.0000    0.0000
13   -4.5194    7.8851  1    0.0000    0.0000
14   -4.5067    7.9060  1    0.0000    0.0000
15   -4.4988    7.9077  1    0.0000    0.0000
16   -4.5084    7.9018  1    0.0000    0.0000
17   -4.5156    7.9193  1    0.0000    0.0000
18   -4.5006    7.9281  1    0.0000    0.0000
19   -4.4928    7.9142  1    0.0000    0.0000
20   -4.4856    7.9128  1    0.0000    0.0000
21   -4.4879    7.9218  1    0.0000    0.0000
22   -4.4799    7.9255  1    0.0000    0.0000
23   -4.4641    7.9304  1    0.0000    0.0000
24   -4.4719    7.9296  1    0.0000    0.0000
25   -4.4672    7.9261  1    0.0000    0.0000
26   -4.4731    7.9350  1    0.0000    0.0000
27   -4.4704    7.9377  1    0.0000    0.0000
28   -4.4436    7.9314  1    0.0000    0.0000
29   -4.4498    7.9218  1    0.0000    0.0000
30   -4.4403    7.9121  1    0.0000    0.0000
31   -4.4333    7.9121  1    0.0000    0.0000
32   -4.4293    7.9061  1    0.0000    0.0000
33   -4.4171    7.8748  1    0.0000    0.0000
34   -4.4311    7.8576  1    0.0000    0.0000
35   -4.4252    7.8382  1    0.0000    0.0000
36   -4.4197    7.7941  1    0.0000    0.0000
37   -4.4031    7.7857  1    0.0000    0.0000
38   -4.3923    7.7946  1    0.0000    0.0000
39   -4.3888    7.7843  1    0.0000    0.0000
40   -4.3687    7.7620  1    0.0000    0.0000
41   -4.3579    7.7459  1    0.0000    0.0000
42   -4.3565    7.7255  1    0.0000    0.0000
43   -4.3647    7.7208  1    0.0000    0.0000
44   -4.3382    7.7258  1    0.0000    0.0000
45   -4.3372    7.7201  1    0.0000    0.0000
46   -4.3284    7.7105  1    0.0000    0.0000
47   -4.3345    7.6977  1    0.0000    0.0000
48   -4.3337    7.6856  1    0.0000    0.0000
49   -4.3408    7.6733  1    0.0000    0.0000
50   -4.3490    7.6594  1    0.0000    0.0000
51   -4.3506    7.6175  1    0.0000    0.0000
52   -4.3474    7.5957  1    0.0000    0.0000
53   -4.3512    7.5760  1    0.0000    0.0000
54   -4.3613    7.5574  1    0.0000    0.0000
55   -4.3457    7.5459  1    0.0000    0.0000
56   -4.3459    7.5295  1    0.0000    0.0000
57   -4.3590    7.5145  1    0.0000    0.0000
58   -4.3368    7.4873  1    0.0000    0.0000
59   -4.3327    7.4580  1    0.0000    0.0000
60   -4.3054    7.4380  1    0.0000    0.0000
61   -4.3127    7.4209  1    0.0000    0.0000
