SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -6.2187    3.0360  1    0.0000    0.0000
1  -17.9504    8.7732  1    0.0000    0.0000
2  -15.8848    7.7652  1    0.0000    0.0000
3  -16.9701    8.3090  1    0.0000    0.0000
4  -16.2890    7.9881  1    0.0000    0.0000
5  -16.7161    8.2144  1    0.0000    0.0000
6  -16.4099    8.0797  1    0.0000    0.0000
7  -16.5938    8.1670  1    0.0000    0.0000
8  -16.4781    8.1378  1    0.0000    0.0000
9  -16.5451    8.1708  1    0.0000    0.0000
10  -16.5241    8.1513  1    0.0000    0.0000
11  -16.5212    8.1595  1    0.0000    0.0000
12  -16.5027    8.1706  1    0.0000    0.0000
13  -16.4997    8.1810  1    0.0000    0.0000
14  -16.5143    8.1962  1    0.0000    0.0000
15  -16.5079    8.1841  1    0.0000    0.0000
16  -16.5124    8.2002  1    0.0000    0.0000
17  -16.5282    8.1976  1    0.0000    0.0000
18  -16.5182    8.2119  1    0.0000    0.0000
19  -16.5221    8.2141  1    0.0000    0.0000
20  -16.5202    8.2325  1    0.0000    0.0000
21  -16.5225    8.2175  1    0.0000    0.0000
22  -16.5290    8.2002  1    0.0000    0.0000
23  -16.5337    8.2268  1    0.0000    0.0000
24  -16.5535    8.2274  1    0.0000    0.0000
25  -16.5516    8.2281  1    0.0000    0.0000
26  -16.5448    8.2249  1    0.0000    0.0000
27  -16.5568    8.2347  1    0.0000    0.0000
28  -16.5571    8.2363  1    0.0000    0.0000
29  -16.5727    8.2251  1    0.0000    0.0000
30  -16.5773    8.2416  1    0.0000    0.0000
31  -16.5737    8.2435  1    0.0000    0.0000
32  -16.5806    8.2419  1    0.0000    0.0000
33  -16.5759    8.2432  1    0.0000    0.0000
34  -16.5912    8.2535  1    0.0000    0.0000
35  -16.6012    8.2555  1    0.0000    0.0000
36  -16.5832    8.2488  1    0.0000    0.0000
37  -16.5961    8.2596  1    0.0000    0.0000
38  -16.6151    8.2865  1    0.0000    0.0000
39  -16.6249    8.2922  1    0.0000    0.0000
40  -16.6603    8.2922  1    0.0000    0.0000
41  -16.6530    8.3023  1    0.0000    0.0000
42  -16.6571    8.2927  1    0.0000    0.0000
43  -16.6897    8.3118  1    0.0000    0.0000
44  -16.7107    8.2819  1    0.0000    0.0000
45  -16.7139    8.2722  1    0.0000    0.0000
46  -16.7195    8.2880  1    0.0000    0.0000
47  -16.7306    8.2891  1    0.0000    0.0000
48  -16.7514    8.2924  1    0.0000    0.0000
49  -16.7302    8.2993  1    0.0000    0.0000
50  -16.7193    8.3121  1    0.0000    0.0000
51  -16.7279    8.3142  1    0.0000    0.0000
52  -16.7242    8.3360  1    0.0000    0.0000
53  -16.7309    8.3349  1    0.0000    0.0000
54  -16.7364    8.3256  1    0.0000    0.0000
55  -16.7302    8.3109  1    0.0000    0.0000
56  -16.7132    8.3213  1    0.0000    0.0000
57  -16.7257    8.3479  1    0.0000    0.0000
58  -16.7429    8.3257  1    0.0000    0.0000
59  -16.7085    8.3616  1    0.0000    0.0000
60  -16.4754    8.2903  1    0.0000    0.0000
61  -15.6479    7.9038  1    0.0000    0.0000
62  -14.4287    7.2266  1    0.0000    0.0000
63  -13.0092    6.8115  1    0.0000    0.0000
64  -11.2898    6.2059  1    0.0000    0.0000
65   -9.4397    5.3790  1    0.0000    0.0000
66   -7.5693    4.2364  1    0.0000    0.0000
67   -5.9044    3.4433  1    0.0000    0.0000
68   -4.2451    2.9383  1    0.0000    0.0000
69   -2.7916    2.5231  1    0.0000    0.0000
70   -1.9104    2.2153  1    0.0000    0.0000
71   -1.5166    2.0954  1    0.0000    0.0000
72   -1.4682    2.0988  1    0.0000    0.0000
73   -1.5073    2.0861  1    0.0000    0.0000
74   -1.6127    2.1241  1    0.0000    0.0000
75   -1.7460    2.2447  1    0.0000    0.0000
76   -1.8993    2.3147  1    0.0000    0.0000
77   -2.0201    2.3574  1    0.0000    0.0000
78   -2.0818    2.4182  1    0.0000    0.0000
79   -2.1392    2.4423  1    0.0000    0.0000
80   -2.2120    2.4775  1    0.0000    0.0000
81   -2.2618    2.4918  1    0.0000    0.0000
82   -2.3245    2.5239  1    0.0000    0.0000
83   -2.3861    2.5559  1    0.0000    0.0000
84   -2.4263    2.5458  1    0.0000    0.0000
85   -2.4416    2.5460  1    0.0000    0.0000
86   -2.4827    2.5509  1    0.0000    0.0000
87   -2.5195    2.5208  1    0.0000    0.0000
88   -2.5371    2.5045  1    0.0000    0.0000
89   -2.5463    2.5301  1    0.0000    0.0000
90   -2.5640    2.5146  1    0.0000    0.0000
91   -2.5763    2.5220  1    0.0000    0.0000
92   -2.5909    2.5083  1    0.0000    0.0000
93   -2.6018    2.4931  1    0.0000    0.0000
94   -2.6074    2.5020  1    0.0000    0.0000
95   -2.6137    2.4880  1    0.0000    0.0000
96   -2.6265    2.4731  1    0.0000    0.0000
97   -2.6467    2.4810  1    0.0000    0.0000
98   -2.7125    2.5322  1    0.0000    0.0000
99   -2.7402    2.5445  1    0.0000    0.0000
100   -2.2263    2.3236  1    0.0000    0.0000
101   -1.3070    1.5835  1    0.0000    0.0000
102   -0.5885    0.6898  1    0.0000    0.0000
103   -0.1558    0.0479  1    0.0000    0.0000
104    0.2530   -0.2997  1    0.0000    0.0000
105    0.5317   -0.4851  1    0.0000    0.0000
106    0.6319   -0.5752  1    0.0000    0.0000
107    0.6337   -0.6669  1    0.0000    0.0000
108    0.6860   -0.7632  1    0.0000    0.0000
109    0.7094   -0.7661  1    0.0000    0.0000
110    0.6696   -0.7367  1    0.0000    0.0000
111    0.6214   -0.6860  1    0.0000    0.0000
112    0.5826   -0.6664  1    0.0000    0.0000
113    0.5835   -0.6477  1    0.0000    0.0000
114    0.5502   -0.6468  1    0.0000    0.0000
115    0.5365   -0.6686  1    0.0000    0.0000
116    0.5205   -0.6741  1    0.0000    0.0000
117    0.5223   -0.6444  1    0.0000    0.0000
118    0.4994   -0.6375  1    0.0000    0.0000
119    0.4859   -0.6625  1    0.0000    0.0000
120    0.4937   -0.6623  1    0.0000    0.0000
121    0.4722   -0.6489  1    0.0000    0.0000
122    0.4646   -0.6344  1    0.0000    0.0000
123    0.4775   -0.6005  1    0.0000    0.0000
124    0.4957   -0.5879  1    0.0000    0.0000
125    0.4793   -0.5892  1    0.0000    0.0000
126    0.4723   -0.5682  1    0.0000    0.0000
127    0.4402   -0.5793  1    0.0000    0.0000
128    0.4560   -0.5814  1    0.0000    0.0000
129    0.4629   -0.5683  1    0.0000    0.0000
130    0.4697   -0.6101  1    0.0000    0.0000
131    0.4478   -0.6286  1    0.0000    0.0000
132    0.4305   -0.6195  1    0.0000    0.0000
133    0.4726   -0.6032  1    0.0000    0.0000
134    0.4655   -0.6102  1    0.0000    0.0000
135    0.4564   -0.6489  1    0.0000    0.0000
136    0.4747   -0.6684  1    0.0000    0.0000
137    0.4768   -0.6636  1    0.0000    0.0000
138    0.4655   -0.6786  1    0.0000    0.0000
139    0.4765   -0.6882  1    0.0000    0.0000
140    0.4822   -0.7250  1    0.0000    0.0000
141    0.4817   -0.7214  1    0.0000    0.0000
142    0.4809   -0.7227  1    0.0000    0.0000
143    0.5083   -0.7314  1    0.0000    0.0000
144    0.5096   -0.7287  1    0.0000    0.0000
145    0.5169   -0.7311  1    0.0000    0.0000
146    0.5229   -0.7316  1    0.0000    0.0000
147    0.5185   -0.7322  1    0.0000    0.0000
148    0.5047   -0.7368  1    0.0000    0.0000
149    0.5090   -0.7081  1    0.0000    0.0000
150    0.4898   -0.7199  1    0.0000    0.0000
151    0.4636   -0.7173  1    0.0000    0.0000
152    0.4416   -0.7325  1    0.0000    0.0000
153    0.4063   -0.7385  1    0.0000    0.0000
154    0.3950   -0.7424  1    0.0000    0.0000
155    0.3908   -0.7400  1    0.0000    0.0000
156    0.3938   -0.7210  1    0.0000    0.0000
157    0.3840   -0.7266  1    0.0000    0.0000
158    0.4215   -0.7249  1    0.0000    0.0000
159    0.4341   -0.7181  1    0.0000    0.0000
160    0.4084   -0.7245  1    0.0000    0.0000
161    0.3862   -0.7601  1    0.0000    0.0000
162    0.3816   -0.7991  1    0.0000    0.0000
163    0.3908   -0.8160  1    0.0000    0.0000
164    0.3786   -0.8057  1    0.0000    0.0000
165    0.3648   -0.8031  1    0.0000    0.0000
166    0.3785   -0.8152  1    0.0000    0.0000
167    0.3731   -0.7883  1    0.0000    0.0000
168    0.4002   -0.7956  1    0.0000    0.0000
169    0.4056   -0.7830  1    0.0000    0.0000
170    0.3966   -0.7855  1    0.0000    0.0000
171    0.3889   -0.7881  1    0.0000    0.0000
172    0.3974   -0.8227  1    0.0000    0.0000
173    0.4066   -0.8141  1    0.0000    0.0000
174    0.3998   -0.8076  1    0.0000    0.0000
175    0.4067   -0.8191  1    0.0000    0.0000
176    0.4121   -0.7963  1    0.0000    0.0000
177    0.4240   -0.7993  1    0.0000    0.0000
178    0.4176   -0.8160  1    0.0000    0.0000
179    0.4294   -0.8417  1    0.0000    0.0000
180    0.4339   -0.8290  1    0.0000    0.0000
181    0.4364   -0.8479  1    0.0000    0.0000
182    0.4464   -0.8362  1    0.0000    0.0000
183    0.4276   -0.8543  1    0.0000    0.0000
184    0.4206   -0.8763  1    0.0000    0.0000
185    0.3965   -0.8921  1    0.0000    0.0000
186    0.3890   -0.8885  1    0.0000    0.0000
187    0.3884   -0.8884  1    0.0000    0.0000
188    0.3972   -0.8808  1    0.0000    0.0000
189    0.4015   -0.8827  1    0.0000    0.0000
190    0.3950   -0.8938  1    0.0000    0.0000
191    0.4128   -0.9048  1    0.0000    0.0000
192    0.4531   -0.9013  1    0.0000    0.0000
