SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -6.1403    2.0176  1    0.0000    0.0000
1  -17.7078    5.8096  1    0.0000    0.0000
2  -15.6915    5.1575  1    0.0000    0.0000
3  -16.7889    5.5221  1    0.0000    0.0000
4  -16.0942    5.3110  1    0.0000    0.0000
5  -16.5115    5.4383  1    0.0000    0.0000
6  -16.2308    5.3468  1    0.0000    0.0000
7  -16.3933    5.4031  1    0.0000    0.0000
8  -16.2866    5.3785  1    0.0000    0.0000
9  -16.3405    5.3861  1    0.0000    0.0000
10  -16.3125    5.3588  1    0.0000    0.0000
11  -16.3037    5.3696  1    0.0000    0.0000
12  -16.2810    5.3715  1    0.0000    0.0000
13  -16.2700    5.3895  1    0.0000    0.0000
14  -16.2668    5.3863  1    0.0000    0.0000
15  -16.2617    5.3833  1    0.0000    0.0000
16  -16.2358    5.3942  1    0.0000    0.0000
17  -16.2401    5.4090  1    0.0000    0.0000
18  -16.2270    5.3943  1    0.0000    0.0000
19  -16.2235    5.3901  1    0.0000    0.0000
20  -16.2296    5.3741  1    0.0000    0.0000
21  -16.2462    5.4076  1    0.0000    0.0000
22  -16.2436    5.4007  1    0.0000    0.0000
23  -16.2430    5.3751  1    0.0000    0.0000
24  -16.2543    5.3835  1    0.0000    0.0000
25  -16.2658    5.3782  1    0.0000    0.0000
26  -16.2647    5.3816  1    0.0000    0.0000
27  -16.2712    5.3882  1    0.0000    0.0000
28  -16.2772    5.3851  1    0.0000    0.0000
29  -16.2956    5.3808  1    0.0000    0.0000
30  -16.2817    5.3702  1    0.0000    0.0000
31  -16.2663    5.3576  1    0.0000    0.0000
32  -16.2597    5.3459  1    0.0000    0.0000
33  -16.2598    5.3489  1    0.0000    0.0000
34  -16.2518    5.3592  1    0.0000    0.0000
35  -16.2460    5.3381  1    0.0000    0.0000
36  -16.2447    5.3371  1    0.0000    0.0000
37  -16.2494    5.3416  1    0.0000    0.0000
38  -16.2486    5.3378  1    0.0000    0.0000
39  -16.2584    5.3375  1    0.0000    0.0000
40  -16.2601    5.3536  1    0.0000    0.0000
41  -16.2586    5.3773  1    0.0000    0.0000
42  -16.2690    5.3811  1    0.0000    0.0000
43  -16.2574    5.3393  1    0.0000    0.0000
44  -16.2535    5.3295  1    0.0000    0.0000
45  -16.2567    5.3290  1    0.0000    0.0000
46  -16.2614    5.3095  1    0.0000    0.0000
47  -16.2642    5.2904  1    0.0000    0.0000
48  -16.2636    5.2958  1    0.0000    0.0000
49  -16.2821    5.3164  1    0.0000    0.0000
50  -16.2766    5.3140  1    0.0000    0.0000
51  -16.2697    5.3077  1    0.0000    0.0000
52  -16.2720    5.2893  1    0.0000    0.0000
53  -16.2844    5.2758  1    0.0000    0.0000
54  -16.2873    5.2597  1    0.0000    0.0000
55  -16.2954    5.2454  1    0.0000    0.0000
56  -16.2927    5.2600  1    0.0000    0.0000
57  -16.3039    5.2714  1    0.0000    0.0000
58  -16.2963    5.2459  1    0.0000    0.0000
59  -16.3041    5.2273  1    0.0000    0.0000
60  -16.3109    5.2267  1    0.0000    0.0000
61  -16.3080    5.2352  1    0.0000    0.0000
62  -16.3155    5.2188  1    0.0000    0.0000
63  -16.3229    5.2111  1    0.0000    0.0000
64  -16.3228    5.2376  1    0.0000    0.0000
65  -16.3172    5.2098  1    0.0000    0.0000
66  -16.3296    5.2171  1    0.0000    0.0000
67  -16.3456    5.2274  1    0.0000    0.0000
68  -16.3591    5.2079  1    0.0000    0.0000
69  -16.3685    5.2109  1    0.0000    0.0000
70  -16.3852    5.2048  1    0.0000    0.0000
71  -16.4045    5.2168  1    0.0000    0.0000
72  -16.4026    5.2316  1    0.0000    0.0000
73  -16.4152    5.2286  1    0.0000    0.0000
74  -16.4178    5.2225  1    0.0000    0.0000
75  -16.4195    5.2510  1    0.0000    0.0000
76  -16.4358    5.2662  1    0.0000    0.0000
77  -16.4431    5.2796  1    0.0000    0.0000
78  -16.4346    5.2957  1    0.0000    0.0000
79  -16.4062    5.2816  1    0.0000    0.0000
80  -16.3842    5.2719  1    0.0000    0.0000
81  -16.3765    5.3065  1    0.0000    0.0000
82  -16.3619    5.2999  1    0.0000    0.0000
83  -16.3620    5.2784  1    0.0000    0.0000
84  -16.4538    5.2054  1    0.0000    0.0000
85  -16.1872    5.1253  1    0.0000    0.0000
86  -15.1042    4.6893  1    0.0000    0.0000
87  -13.3968    3.8998  1    0.0000    0.0000
88  -11.2567    2.9894  1    0.0000    0.0000
89   -8.8088    1.9792  1    0.0000    0.0000
90   -6.5791    1.0107  1    0.0000    0.0000
91   -4.6468    0.3260  1    0.0000    0.0000
92   -2.9337   -0.1826  1    0.0000    0.0000
93   -1.4175   -0.5652  1    0.0000    0.0000
94   -0.3815   -0.8495  1    0.0000    0.0000
95   -0.0751   -0.8615  1    0.0000    0.0000
96   -0.2124   -0.7483  1    0.0000    0.0000
97   -0.4300   -0.5640  1    0.0000    0.0000
98   -0.4818   -0.5061  1    0.0000    0.0000
99   -0.5731   -0.5617  1    0.0000    0.0000
100   -0.6533   -0.6316  1    0.0000    0.0000
101   -0.6871   -0.6376  1    0.0000    0.0000
102   -0.7079   -0.6025  1    0.0000    0.0000
103   -0.7109   -0.6073  1    0.0000    0.0000
104   -0.7106   -0.6378  1    0.0000    0.0000
105   -0.6912   -0.6779  1    0.0000    0.0000
