SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0    5.0239   -4.4830  1    0.0000    0.0000
1   14.5016  -12.9633  1    0.0000    0.0000
2   12.8591  -11.5000  1    0.0000    0.0000
3   13.7528  -12.2959  1    0.0000    0.0000
4   13.1857  -11.7853  1    0.0000    0.0000
5   13.5124  -12.0871  1    0.0000    0.0000
6   13.2831  -11.8975  1    0.0000    0.0000
7   13.4317  -12.0388  1    0.0000    0.0000
8   13.3515  -11.9649  1    0.0000    0.0000
9   13.3667  -12.0073  1    0.0000    0.0000
10   13.3445  -11.9693  1    0.0000    0.0000
11   13.3495  -11.9785  1    0.0000    0.0000
12   13.3211  -11.9878  1    0.0000    0.0000
13   13.3035  -11.9840  1    0.0000    0.0000
14   13.2970  -11.9731  1    0.0000    0.0000
15   13.3042  -11.9689  1    0.0000    0.0000
16   13.3162  -11.9699  1    0.0000    0.0000
17   13.3149  -11.9835  1    0.0000    0.0000
18   13.3223  -11.9854  1    0.0000    0.0000
19   13.3195  -11.9882  1    0.0000    0.0000
20   13.3239  -11.9817  1    0.0000    0.0000
21   13.3328  -11.9821  1    0.0000    0.0000
22   13.3350  -11.9904  1    0.0000    0.0000
23   13.3388  -11.9875  1    0.0000    0.0000
24   13.3265  -11.9663  1    0.0000    0.0000
25   13.3256  -11.9648  1    0.0000    0.0000
26   13.3464  -11.9741  1    0.0000    0.0000
27   13.3501  -11.9622  1    0.0000    0.0000
28   13.3364  -11.9625  1    0.0000    0.0000
29   13.3251  -11.9780  1    0.0000    0.0000
30   13.3292  -11.9899  1    0.0000    0.0000
31   13.3189  -11.9743  1    0.0000    0.0000
32   13.3140  -11.9732  1    0.0000    0.0000
33   13.3208  -11.9764  1    0.0000    0.0000
34   13.2885  -11.9789  1    0.0000    0.0000
35   13.2938  -11.9876  1    0.0000    0.0000
36   13.3179  -11.9907  1    0.0000    0.0000
37   13.3004  -12.0042  1    0.0000    0.0000
38   13.2955  -11.9925  1    0.0000    0.0000
39   13.2738  -11.9908  1    0.0000    0.0000
40   13.2914  -11.9803  1    0.0000    0.0000
41   13.2729  -11.9827  1    0.0000    0.0000
42   13.2646  -11.9867  1    0.0000    0.0000
43   13.2782  -11.9730  1    0.0000    0.0000
44   13.2756  -11.9947  1    0.0000    0.0000
45   13.2759  -11.9827  1    0.0000    0.0000
