SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -5.3708    2.1584  1    0.0000    0.0000
1  -15.5153    6.2210  1    0.0000    0.0000
2  -13.7463    5.5032  1    0.0000    0.0000
3  -14.7125    5.8884  1    0.0000    0.0000
4  -14.1140    5.6303  1    0.0000    0.0000
5  -14.4862    5.7684  1    0.0000    0.0000
6  -14.2545    5.6880  1    0.0000    0.0000
7  -14.4282    5.7800  1    0.0000    0.0000
8  -14.3708    5.7484  1    0.0000    0.0000
9  -14.4226    5.7153  1    0.0000    0.0000
10  -14.4091    5.6915  1    0.0000    0.0000
11  -14.4263    5.7127  1    0.0000    0.0000
12  -14.4172    5.7132  1    0.0000    0.0000
13  -14.4436    5.7050  1    0.0000    0.0000
14  -14.4354    5.7028  1    0.0000    0.0000
15  -14.4453    5.6936  1    0.0000    0.0000
16  -14.4525    5.6633  1    0.0000    0.0000
17  -14.4559    5.6917  1    0.0000    0.0000
18  -14.4639    5.6824  1    0.0000    0.0000
19  -14.4555    5.6955  1    0.0000    0.0000
20  -14.4512    5.6939  1    0.0000    0.0000
21  -14.4487    5.6802  1    0.0000    0.0000
22  -14.4769    5.6720  1    0.0000    0.0000
23  -14.4891    5.6749  1    0.0000    0.0000
24  -14.4767    5.6769  1    0.0000    0.0000
25  -14.4925    5.6725  1    0.0000    0.0000
26  -14.5088    5.6749  1    0.0000    0.0000
27  -14.5155    5.6412  1    0.0000    0.0000
28  -14.5136    5.6592  1    0.0000    0.0000
29  -14.5143    5.6641  1    0.0000    0.0000
30  -14.5048    5.6653  1    0.0000    0.0000
31  -14.5157    5.6361  1    0.0000    0.0000
32  -14.5189    5.6475  1    0.0000    0.0000
33  -14.5126    5.6632  1    0.0000    0.0000
34  -14.5146    5.6745  1    0.0000    0.0000
35  -14.5117    5.6597  1    0.0000    0.0000
36  -14.5280    5.6258  1    0.0000    0.0000
37  -14.5341    5.6371  1    0.0000    0.0000
38  -14.5300    5.6397  1    0.0000    0.0000
39  -14.5407    5.6359  1    0.0000    0.0000
40  -14.5433    5.6451  1    0.0000    0.0000
41  -14.5632    5.6291  1    0.0000    0.0000
42  -14.5666    5.6088  1    0.0000    0.0000
43  -14.5645    5.6071  1    0.0000    0.0000
44  -14.5631    5.5856  1    0.0000    0.0000
45  -14.5794    5.6144  1    0.0000    0.0000
46  -14.5805    5.6379  1    0.0000    0.0000
47  -14.5692    5.6223  1    0.0000    0.0000
48  -14.6052    5.5987  1    0.0000    0.0000
49  -14.6166    5.5996  1    0.0000    0.0000
50  -14.6204    5.5911  1    0.0000    0.0000
51  -14.6000    5.6172  1    0.0000    0.0000
52  -14.6070    5.5955  1    0.0000    0.0000
53  -14.6112    5.6046  1    0.0000    0.0000
54  -14.5960    5.5864  1    0.0000    0.0000
55  -14.3873    5.5121  1    0.0000    0.0000
56  -13.6497    5.3883  1    0.0000    0.0000
57  -12.3488    5.0697  1    0.0000    0.0000
58  -10.8340    4.6403  1    0.0000    0.0000
59   -9.3043    4.1054  1    0.0000    0.0000
60   -7.8392    3.6643  1    0.0000    0.0000
61   -6.4735    3.1411  1    0.0000    0.0000
62   -5.0571    2.5369  1    0.0000    0.0000
63   -3.6964    1.9764  1    0.0000    0.0000
64   -2.5434    1.4477  1    0.0000    0.0000
65   -1.5372    1.1370  1    0.0000    0.0000
66   -0.9335    0.9757  1    0.0000    0.0000
67   -1.0567    0.8563  1    0.0000    0.0000
68   -1.3959    0.8425  1    0.0000    0.0000
69   -1.4628    0.8311  1    0.0000    0.0000
70   -1.2694    0.7988  1    0.0000    0.0000
71   -1.0632    0.7445  1    0.0000    0.0000
72   -1.0591    0.7285  1    0.0000    0.0000
73   -1.1322    0.7411  1    0.0000    0.0000
74   -1.1562    0.7416  1    0.0000    0.0000
75   -1.1469    0.7348  1    0.0000    0.0000
76   -1.1597    0.7333  1    0.0000    0.0000
77   -1.1750    0.7086  1    0.0000    0.0000
