SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -6.3476    2.4020  1    0.0000    0.0000
1  -18.3295    6.9518  1    0.0000    0.0000
2  -16.2269    6.1461  1    0.0000    0.0000
3  -17.3609    6.5669  1    0.0000    0.0000
4  -16.6489    6.3243  1    0.0000    0.0000
5  -17.0872    6.4787  1    0.0000    0.0000
6  -16.8003    6.3663  1    0.0000    0.0000
7  -16.9755    6.4586  1    0.0000    0.0000
8  -16.8722    6.4362  1    0.0000    0.0000
9  -16.9169    6.4490  1    0.0000    0.0000
10  -16.9045    6.4402  1    0.0000    0.0000
11  -16.8980    6.4419  1    0.0000    0.0000
12  -16.8935    6.4288  1    0.0000    0.0000
13  -16.8927    6.4554  1    0.0000    0.0000
14  -16.8692    6.4333  1    0.0000    0.0000
15  -16.8655    6.4231  1    0.0000    0.0000
16  -16.8714    6.4327  1    0.0000    0.0000
17  -16.8534    6.4489  1    0.0000    0.0000
18  -16.8566    6.4391  1    0.0000    0.0000
19  -16.8573    6.4373  1    0.0000    0.0000
20  -16.8549    6.4491  1    0.0000    0.0000
21  -16.8563    6.4629  1    0.0000    0.0000
22  -16.8441    6.4571  1    0.0000    0.0000
23  -16.8492    6.4608  1    0.0000    0.0000
24  -16.8491    6.4587  1    0.0000    0.0000
25  -16.8276    6.4544  1    0.0000    0.0000
26  -16.8426    6.4624  1    0.0000    0.0000
27  -16.8411    6.4926  1    0.0000    0.0000
28  -16.8291    6.4903  1    0.0000    0.0000
29  -16.8268    6.4872  1    0.0000    0.0000
30  -16.8174    6.5052  1    0.0000    0.0000
31  -16.8196    6.5169  1    0.0000    0.0000
32  -16.8243    6.5430  1    0.0000    0.0000
33  -16.8203    6.5605  1    0.0000    0.0000
34  -16.8280    6.5583  1    0.0000    0.0000
35  -16.8307    6.6032  1    0.0000    0.0000
36  -16.8432    6.6123  1    0.0000    0.0000
37  -16.8490    6.6313  1    0.0000    0.0000
38  -16.8470    6.6427  1    0.0000    0.0000
