SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -4.5110    2.4820  1    0.0000    0.0000
1  -13.0639    7.1994  1    0.0000    0.0000
2  -11.5864    6.3477  1    0.0000    0.0000
3  -12.3629    6.7670  1    0.0000    0.0000
4  -11.8680    6.5075  1    0.0000    0.0000
5  -12.2180    6.6883  1    0.0000    0.0000
6  -12.0281    6.5981  1    0.0000    0.0000
7  -12.1608    6.6527  1    0.0000    0.0000
8  -12.0975    6.5921  1    0.0000    0.0000
9  -12.1380    6.6252  1    0.0000    0.0000
10  -12.1539    6.6496  1    0.0000    0.0000
11  -12.1602    6.6712  1    0.0000    0.0000
12  -12.1492    6.6826  1    0.0000    0.0000
13  -12.2005    6.6914  1    0.0000    0.0000
14  -12.2192    6.6642  1    0.0000    0.0000
15  -12.2152    6.7139  1    0.0000    0.0000
16  -12.2144    6.7340  1    0.0000    0.0000
17  -12.2110    6.7219  1    0.0000    0.0000
18  -12.1998    6.7170  1    0.0000    0.0000
19  -12.2267    6.7347  1    0.0000    0.0000
20  -12.2426    6.7126  1    0.0000    0.0000
21  -12.2669    6.7213  1    0.0000    0.0000
22  -12.2639    6.7045  1    0.0000    0.0000
23  -12.2387    6.6962  1    0.0000    0.0000
24  -12.2446    6.6936  1    0.0000    0.0000
25  -12.2677    6.6866  1    0.0000    0.0000
26  -12.2794    6.7191  1    0.0000    0.0000
27  -12.2916    6.7280  1    0.0000    0.0000
28  -12.4952    6.7188  1    0.0000    0.0000
29  -13.2429    6.6259  1    0.0000    0.0000
30  -14.1812    6.4327  1    0.0000    0.0000
31  -14.8690    6.3593  1    0.0000    0.0000
32  -15.2135    6.4026  1    0.0000    0.0000
33  -15.3559    6.4389  1    0.0000    0.0000
34  -15.3573    6.4004  1    0.0000    0.0000
35  -15.2952    6.4224  1    0.0000    0.0000
36  -15.2181    6.4493  1    0.0000    0.0000
37  -15.2362    6.4321  1    0.0000    0.0000
38  -15.3105    6.4194  1    0.0000    0.0000
39  -15.3424    6.3963  1    0.0000    0.0000
40  -15.3178    6.3877  1    0.0000    0.0000
41  -15.3129    6.3986  1    0.0000    0.0000
42  -15.3293    6.3926  1    0.0000    0.0000
43  -15.3440    6.4130  1    0.0000    0.0000
44  -15.3346    6.3862  1    0.0000    0.0000
45  -15.3295    6.3866  1    0.0000    0.0000
46  -15.3488    6.4119  1    0.0000    0.0000
47  -15.3351    6.4283  1    0.0000    0.0000
48  -15.3336    6.4255  1    0.0000    0.0000
49  -15.3627    6.4160  1    0.0000    0.0000
50  -15.3412    6.4297  1    0.0000    0.0000
51  -15.3370    6.4241  1    0.0000    0.0000
52  -15.3553    6.4269  1    0.0000    0.0000
53  -15.3677    6.4488  1    0.0000    0.0000
