SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -6.0356    3.0072  1    0.0000    0.0000
1  -17.4156    8.9282  1    0.0000    0.0000
2  -15.4054    8.0669  1    0.0000    0.0000
3  -16.4447    8.4619  1    0.0000    0.0000
4  -15.7674    8.0300  1    0.0000    0.0000
5  -16.1934    8.2736  1    0.0000    0.0000
6  -15.9131    8.1643  1    0.0000    0.0000
7  -16.0699    8.2664  1    0.0000    0.0000
8  -15.9652    8.2188  1    0.0000    0.0000
9  -15.9974    8.2414  1    0.0000    0.0000
10  -15.9958    8.2340  1    0.0000    0.0000
11  -15.9984    8.2304  1    0.0000    0.0000
12  -15.9932    8.2011  1    0.0000    0.0000
13  -15.9877    8.1891  1    0.0000    0.0000
14  -15.9421    8.1739  1    0.0000    0.0000
15  -15.9152    8.1647  1    0.0000    0.0000
16  -15.9109    8.1336  1    0.0000    0.0000
17  -15.9150    8.1186  1    0.0000    0.0000
18  -15.9075    8.1320  1    0.0000    0.0000
19  -15.9097    8.1302  1    0.0000    0.0000
20  -15.8874    8.1114  1    0.0000    0.0000
21  -15.9079    8.1034  1    0.0000    0.0000
22  -15.8981    8.1210  1    0.0000    0.0000
23  -15.8925    8.1160  1    0.0000    0.0000
24  -15.8867    8.1153  1    0.0000    0.0000
25  -15.8891    8.1357  1    0.0000    0.0000
26  -15.8868    8.1345  1    0.0000    0.0000
27  -15.8762    8.1263  1    0.0000    0.0000
28  -15.9050    8.1533  1    0.0000    0.0000
29  -15.9287    8.1594  1    0.0000    0.0000
30  -15.9325    8.1526  1    0.0000    0.0000
31  -15.9386    8.1489  1    0.0000    0.0000
32  -15.9228    8.1192  1    0.0000    0.0000
33  -15.9052    8.1185  1    0.0000    0.0000
34  -15.8873    8.1187  1    0.0000    0.0000
35  -15.8394    8.1041  1    0.0000    0.0000
36  -15.8344    8.0971  1    0.0000    0.0000
37  -15.8322    8.1319  1    0.0000    0.0000
38  -15.8465    8.1298  1    0.0000    0.0000
39  -15.8420    8.1383  1    0.0000    0.0000
40  -15.8322    8.1632  1    0.0000    0.0000
41  -15.8441    8.1822  1    0.0000    0.0000
42  -15.8506    8.2051  1    0.0000    0.0000
43  -15.8684    8.1823  1    0.0000    0.0000
44  -15.8728    8.1852  1    0.0000    0.0000
45  -15.9009    8.1689  1    0.0000    0.0000
46  -15.9028    8.1695  1    0.0000    0.0000
47  -15.9143    8.1780  1    0.0000    0.0000
48  -15.9034    8.1689  1    0.0000    0.0000
49  -15.8955    8.1725  1    0.0000    0.0000
50  -15.8973    8.1688  1    0.0000    0.0000
51  -15.8558    8.1628  1    0.0000    0.0000
52  -15.8541    8.1663  1    0.0000    0.0000
53  -15.8660    8.1667  1    0.0000    0.0000
54  -15.8351    8.1616  1    0.0000    0.0000
55  -15.8431    8.1537  1    0.0000    0.0000
56  -15.8467    8.1599  1    0.0000    0.0000
57  -15.8579    8.1446  1    0.0000    0.0000
58  -15.8635    8.1484  1    0.0000    0.0000
59  -15.8390    8.1574  1    0.0000    0.0000
60  -15.8447    8.1493  1    0.0000    0.0000
61  -15.7098    8.1096  1    0.0000    0.0000
62  -15.0617    8.2301  1    0.0000    0.0000
63  -13.8989    8.4089  1    0.0000    0.0000
64  -12.6916    8.5932  1    0.0000    0.0000
65  -11.7052    8.6632  1    0.0000    0.0000
66  -10.9634    8.6325  1    0.0000    0.0000
67  -10.3335    8.6226  1    0.0000    0.0000
68   -9.8755    8.6077  1    0.0000    0.0000
69   -9.7023    8.5990  1    0.0000    0.0000
70   -9.7854    8.5792  1    0.0000    0.0000
71   -9.8618    8.5635  1    0.0000    0.0000
72   -9.8693    8.6035  1    0.0000    0.0000
73   -9.7778    8.5985  1    0.0000    0.0000
74   -9.7271    8.5633  1    0.0000    0.0000
75   -9.7024    8.5662  1    0.0000    0.0000
76   -9.7007    8.5215  1    0.0000    0.0000
77   -9.7008    8.5360  1    0.0000    0.0000
78   -9.7186    8.5396  1    0.0000    0.0000
79   -9.7211    8.5296  1    0.0000    0.0000
80   -9.7288    8.5432  1    0.0000    0.0000
81   -9.7293    8.5588  1    0.0000    0.0000
82   -9.6802    8.5670  1    0.0000    0.0000
83   -9.6445    8.5612  1    0.0000    0.0000
84   -9.6099    8.5560  1    0.0000    0.0000
85   -9.6008    8.5322  1    0.0000    0.0000
86   -9.5880    8.5392  1    0.0000    0.0000
87   -9.5865    8.5428  1    0.0000    0.0000
88   -9.5889    8.5345  1    0.0000    0.0000
89   -9.5920    8.5247  1    0.0000    0.0000
90   -9.5908    8.5385  1    0.0000    0.0000
91   -9.5964    8.5328  1    0.0000    0.0000
92   -9.6028    8.5443  1    0.0000    0.0000
93   -9.6206    8.5518  1    0.0000    0.0000
94   -9.6126    8.5325  1    0.0000    0.0000
95   -9.6037    8.5308  1    0.0000    0.0000
96   -9.6223    8.5205  1    0.0000    0.0000
97   -9.6418    8.5117  1    0.0000    0.0000
98   -9.6337    8.5283  1    0.0000    0.0000
99   -9.6354    8.5260  1    0.0000    0.0000
100   -9.6129    8.5229  1    0.0000    0.0000
101   -9.4746    8.4893  1    0.0000    0.0000
102   -8.9218    8.3849  1    0.0000    0.0000
103   -7.8464    8.1221  1    0.0000    0.0000
104   -6.4702    7.7462  1    0.0000    0.0000
105   -5.3037    7.3910  1    0.0000    0.0000
106   -4.7259    7.0454  1    0.0000    0.0000
107   -4.4396    6.9094  1    0.0000    0.0000
108   -4.2315    6.8397  1    0.0000    0.0000
109   -4.0971    6.7719  1    0.0000    0.0000
110   -4.1211    6.7783  1    0.0000    0.0000
111   -4.1740    6.8226  1    0.0000    0.0000
112   -4.1704    6.8200  1    0.0000    0.0000
113   -4.1654    6.8146  1    0.0000    0.0000
114   -4.1326    6.8111  1    0.0000    0.0000
115   -4.1282    6.8089  1    0.0000    0.0000
116   -4.1483    6.7991  1    0.0000    0.0000
117   -4.1464    6.7831  1    0.0000    0.0000
118   -4.1476    6.7870  1    0.0000    0.0000
119   -4.1343    6.7895  1    0.0000    0.0000
120   -4.1138    6.7778  1    0.0000    0.0000
121   -4.1174    6.7801  1    0.0000    0.0000
122   -4.1208    6.7679  1    0.0000    0.0000
123   -4.0963    6.7775  1    0.0000    0.0000
124   -4.1086    6.7553  1    0.0000    0.0000
125   -4.1087    6.7597  1    0.0000    0.0000
126   -4.0965    6.7498  1    0.0000    0.0000
127   -4.0982    6.7406  1    0.0000    0.0000
128   -4.0975    6.7396  1    0.0000    0.0000
129   -4.0651    6.7447  1    0.0000    0.0000
130   -4.0717    6.7510  1    0.0000    0.0000
131   -4.0824    6.7484  1    0.0000    0.0000
132   -4.0691    6.7473  1    0.0000    0.0000
133   -4.0452    6.7408  1    0.0000    0.0000
134   -4.0320    6.7385  1    0.0000    0.0000
135   -4.0360    6.7307  1    0.0000    0.0000
136   -4.0258    6.7292  1    0.0000    0.0000
137   -4.0352    6.7773  1    0.0000    0.0000
138   -4.0361    6.7797  1    0.0000    0.0000
139   -4.0431    6.7788  1    0.0000    0.0000
140   -4.0411    6.7625  1    0.0000    0.0000
141   -4.0494    6.7295  1    0.0000    0.0000
142   -4.0522    6.7367  1    0.0000    0.0000
143   -4.0295    6.7351  1    0.0000    0.0000
144   -4.1516    6.8891  1    0.0000    0.0000
145   -4.5710    7.4189  1    0.0000    0.0000
146   -4.9264    8.2635  1    0.0000    0.0000
147   -5.0491    9.1141  1    0.0000    0.0000
148   -5.0057    9.8316  1    0.0000    0.0000
149   -4.8973   10.2091  1    0.0000    0.0000
150   -4.8420   10.2987  1    0.0000    0.0000
151   -4.7636   10.2332  1    0.0000    0.0000
152   -4.7446   10.1688  1    0.0000    0.0000
153   -4.7556   10.1997  1    0.0000    0.0000
154   -4.7445   10.2479  1    0.0000    0.0000
155   -4.7440   10.2869  1    0.0000    0.0000
156   -4.7580   10.2896  1    0.0000    0.0000
157   -4.7577   10.3098  1    0.0000    0.0000
158   -4.7516   10.2969  1    0.0000    0.0000
159   -4.7429   10.2801  1    0.0000    0.0000
160   -4.7131   10.2631  1    0.0000    0.0000
161   -4.6944   10.2508  1    0.0000    0.0000
162   -4.7035   10.2651  1    0.0000    0.0000
163   -4.6983   10.2652  1    0.0000    0.0000
164   -4.6882   10.2506  1    0.0000    0.0000
165   -4.6689   10.2318  1    0.0000    0.0000
166   -4.6657   10.2272  1    0.0000    0.0000
167   -4.6710   10.2201  1    0.0000    0.0000
168   -4.6658   10.2173  1    0.0000    0.0000
169   -4.6403   10.2100  1    0.0000    0.0000
170   -4.6340   10.2162  1    0.0000    0.0000
171   -4.6338   10.2402  1    0.0000    0.0000
172   -4.6259   10.2467  1    0.0000    0.0000
173   -4.6302   10.2647  1    0.0000    0.0000
174   -4.6108   10.3002  1    0.0000    0.0000
175   -4.5957   10.3273  1    0.0000    0.0000
176   -4.6001   10.3274  1    0.0000    0.0000
177   -4.6070   10.3185  1    0.0000    0.0000
178   -4.6157   10.3218  1    0.0000    0.0000
179   -4.6283   10.3452  1    0.0000    0.0000
180   -4.6407   10.3612  1    0.0000    0.0000
181   -4.6316   10.3477  1    0.0000    0.0000
182   -4.5877   10.3540  1    0.0000    0.0000
183   -4.5912   10.3647  1    0.0000    0.0000
184   -4.5926   10.3381  1    0.0000    0.0000
185   -4.5988   10.3019  1    0.0000    0.0000
186   -4.5013   10.3774  1    0.0000    0.0000
187   -3.9601   10.6722  1    0.0000    0.0000
188   -3.0657   11.1021  1    0.0000    0.0000
189   -2.3023   11.4691  1    0.0000    0.0000
190   -1.6351   11.8078  1    0.0000    0.0000
191   -1.1785   11.9607  1    0.0000    0.0000
192   -0.8746   11.9787  1    0.0000    0.0000
193   -0.6617   11.9495  1    0.0000    0.0000
194   -0.7357   11.9351  1    0.0000    0.0000
195   -0.8282   11.9400  1    0.0000    0.0000
196   -0.8320   12.0118  1    0.0000    0.0000
197   -0.7861   12.0729  1    0.0000    0.0000
198   -0.7673   12.0797  1    0.0000    0.0000
199   -0.7738   12.0785  1    0.0000    0.0000
200   -0.7634   12.0872  1    0.0000    0.0000
201   -0.7584   12.0730  1    0.0000    0.0000
202   -0.7643   12.0599  1    0.0000    0.0000
203   -0.7643   12.0569  1    0.0000    0.0000
204   -0.7623   12.0349  1    0.0000    0.0000
205   -0.7771   12.0082  1    0.0000    0.0000
206   -0.7679   11.9855  1    0.0000    0.0000
207   -0.7785   11.9864  1    0.0000    0.0000
208   -0.7863   11.9774  1    0.0000    0.0000
209   -0.7957   11.9811  1    0.0000    0.0000
210   -0.7964   11.9961  1    0.0000    0.0000
211   -0.8029   12.0074  1    0.0000    0.0000
212   -0.8099   12.0175  1    0.0000    0.0000
213   -0.8033   12.0486  1    0.0000    0.0000
214   -0.7929   12.0681  1    0.0000    0.0000
215   -0.7859   12.0909  1    0.0000    0.0000
216   -0.8004   12.1037  1    0.0000    0.0000
217   -0.7710   12.1198  1    0.0000    0.0000
218   -0.7584   12.1293  1    0.0000    0.0000
219   -0.7630   12.1051  1    0.0000    0.0000
220   -0.7494   12.0749  1    0.0000    0.0000
221   -0.7450   12.0624  1    0.0000    0.0000
222   -0.7506   12.0629  1    0.0000    0.0000
223   -0.7517   12.0537  1    0.0000    0.0000
224   -0.7611   12.0833  1    0.0000    0.0000
225   -0.7588   12.1267  1    0.0000    0.0000
226   -0.7216   12.1426  1    0.0000    0.0000
227   -0.6983   12.1397  1    0.0000    0.0000
228   -0.6734   12.1585  1    0.0000    0.0000
229   -0.6423   12.1431  1    0.0000    0.0000
230   -0.6312   12.1209  1    0.0000    0.0000
231   -0.6306   12.1030  1    0.0000    0.0000
232   -0.6195   12.0964  1    0.0000    0.0000
233   -0.6233   12.1170  1    0.0000    0.0000
234   -0.6465   12.1220  1    0.0000    0.0000
235   -0.6611   12.1111  1    0.0000    0.0000
236   -0.6548   12.1295  1    0.0000    0.0000
237   -0.6489   12.1552  1    0.0000    0.0000
238   -0.6603   12.1698  1    0.0000    0.0000
239   -0.6598   12.1871  1    0.0000    0.0000
240   -0.6361   12.1880  1    0.0000    0.0000
241   -0.6282   12.1790  1    0.0000    0.0000
242   -0.6268   12.1719  1    0.0000    0.0000
243   -0.6318   12.1741  1    0.0000    0.0000
244   -0.6187   12.1831  1    0.0000    0.0000
245   -0.6416   12.1850  1    0.0000    0.0000
246   -0.6498   12.1701  1    0.0000    0.0000
247   -0.6289   12.1586  1    0.0000    0.0000
248   -0.6125   12.1660  1    0.0000    0.0000
249   -0.6475   12.1489  1    0.0000    0.0000
250   -0.6614   12.1391  1    0.0000    0.0000
251   -0.6245   12.1677  1    0.0000    0.0000
252   -0.6450   12.1723  1    0.0000    0.0000
253   -0.6287   12.1869  1    0.0000    0.0000
254   -0.6212   12.1998  1    0.0000    0.0000
255   -0.6391   12.2000  1    0.0000    0.0000
256   -0.6351   12.1892  1    0.0000    0.0000
257   -0.5091   12.2445  1    0.0000    0.0000
258   -0.1339   12.2986  1    0.0000    0.0000
259    0.4620   12.3013  1    0.0000    0.0000
260    0.9856   12.2933  1    0.0000    0.0000
261    1.1358   12.2610  1    0.0000    0.0000
262    1.2355   12.2651  1    0.0000    0.0000
263    1.3463   12.2613  1    0.0000    0.0000
264    1.3374   12.2517  1    0.0000    0.0000
265    1.3290   12.2375  1    0.0000    0.0000
266    1.3111   12.2380  1    0.0000    0.0000
267    1.2950   12.2304  1    0.0000    0.0000
268    1.3078   12.2158  1    0.0000    0.0000
269    1.2947   12.2120  1    0.0000    0.0000
270    1.3112   12.2061  1    0.0000    0.0000
271    1.3288   12.1830  1    0.0000    0.0000
272    1.3137   12.1686  1    0.0000    0.0000
273    1.3199   12.1705  1    0.0000    0.0000
274    1.3285   12.1627  1    0.0000    0.0000
275    1.3175   12.1605  1    0.0000    0.0000
276    1.3328   12.1635  1    0.0000    0.0000
277    1.3390   12.1519  1    0.0000    0.0000
278    1.3232   12.1534  1    0.0000    0.0000
279    1.3357   12.1447  1    0.0000    0.0000
