SAMPLE	 X DEGREE	 Y DEGREE	 VALIDITY	 X STIMULUS	 Y STIMULUS
0   -4.0812    3.5438  1    0.0000    0.0000
1  -11.7779   10.2328  1    0.0000    0.0000
2  -10.4211    9.0752  1    0.0000    0.0000
3  -11.1565    9.7051  1    0.0000    0.0000
4  -10.7100    9.3018  1    0.0000    0.0000
5  -10.9946    9.5639  1    0.0000    0.0000
6  -10.8048    9.4203  1    0.0000    0.0000
7  -10.9366    9.5135  1    0.0000    0.0000
8  -10.8746    9.4625  1    0.0000    0.0000
9  -10.8859    9.5031  1    0.0000    0.0000
10  -10.9135    9.4991  1    0.0000    0.0000
11  -11.3438    9.5781  1    0.0000    0.0000
12  -11.9100    9.2240  1    0.0000    0.0000
13  -12.8076    8.4975  1    0.0000    0.0000
14  -13.5520    8.0087  1    0.0000    0.0000
15  -14.4588    8.1784  1    0.0000    0.0000
16  -15.5239    8.1146  1    0.0000    0.0000
17  -16.1227    7.5434  1    0.0000    0.0000
18  -16.6638    7.2942  1    0.0000    0.0000
19  -17.1559    7.1663  1    0.0000    0.0000
20  -17.3726    7.0797  1    0.0000    0.0000
21  -17.3633    7.0254  1    0.0000    0.0000
22  -17.3606    7.0164  1    0.0000    0.0000
23  -17.3094    7.0004  1    0.0000    0.0000
24  -17.2794    7.0289  1    0.0000    0.0000
25  -17.2175    7.0417  1    0.0000    0.0000
26  -17.1806    7.0543  1    0.0000    0.0000
27  -17.1489    7.0846  1    0.0000    0.0000
28  -17.1216    7.0751  1    0.0000    0.0000
29  -17.0990    7.0847  1    0.0000    0.0000
30  -17.0808    7.0948  1    0.0000    0.0000
31  -17.0740    7.0838  1    0.0000    0.0000
32  -17.0629    7.0896  1    0.0000    0.0000
33  -17.0504    7.1042  1    0.0000    0.0000
34  -17.0385    7.0974  1    0.0000    0.0000
35  -17.0464    7.1127  1    0.0000    0.0000
36  -17.0350    7.1255  1    0.0000    0.0000
37  -17.0291    7.1266  1    0.0000    0.0000
38  -17.0162    7.1030  1    0.0000    0.0000
39  -17.0145    7.1026  1    0.0000    0.0000
40  -17.0134    7.1219  1    0.0000    0.0000
41  -17.0084    7.1312  1    0.0000    0.0000
42  -17.0000    7.1344  1    0.0000    0.0000
43  -16.9996    7.1330  1    0.0000    0.0000
44  -17.0045    7.1601  1    0.0000    0.0000
45  -16.9946    7.1561  1    0.0000    0.0000
46  -16.9981    7.1585  1    0.0000    0.0000
47  -16.9976    7.1681  1    0.0000    0.0000
48  -16.9873    7.1493  1    0.0000    0.0000
49  -16.9809    7.1636  1    0.0000    0.0000
50  -16.9912    7.1560  1    0.0000    0.0000
51  -16.9854    7.1464  1    0.0000    0.0000
52  -16.9791    7.1400  1    0.0000    0.0000
53  -16.9691    7.1379  1    0.0000    0.0000
54  -16.9670    7.1351  1    0.0000    0.0000
55  -16.9656    7.1365  1    0.0000    0.0000
56  -16.9550    7.1324  1    0.0000    0.0000
57  -16.9526    7.1242  1    0.0000    0.0000
58  -16.9682    7.1257  1    0.0000    0.0000
59  -16.9521    7.1257  1    0.0000    0.0000
60  -16.9465    7.1340  1    0.0000    0.0000
61  -16.9631    7.1320  1    0.0000    0.0000
62  -16.9737    7.1417  1    0.0000    0.0000
63  -16.9781    7.1448  1    0.0000    0.0000
64  -16.9714    7.1511  1    0.0000    0.0000
65  -16.9810    7.1574  1    0.0000    0.0000
66  -16.9964    7.1696  1    0.0000    0.0000
67  -16.9879    7.1791  1    0.0000    0.0000
68  -16.9867    7.1845  1    0.0000    0.0000
69  -16.9937    7.1985  1    0.0000    0.0000
70  -16.9921    7.1909  1    0.0000    0.0000
71  -16.9849    7.1886  1    0.0000    0.0000
72  -16.9687    7.1853  1    0.0000    0.0000
73  -16.9801    7.2017  1    0.0000    0.0000
74  -16.9735    7.2005  1    0.0000    0.0000
75  -16.9637    7.1976  1    0.0000    0.0000
76  -16.9633    7.1882  1    0.0000    0.0000
77  -16.9607    7.1829  1    0.0000    0.0000
78  -16.9744    7.2078  1    0.0000    0.0000
79  -16.9644    7.2007  1    0.0000    0.0000
80  -16.9683    7.2064  1    0.0000    0.0000
81  -16.9660    7.1865  1    0.0000    0.0000
82  -16.9727    7.1752  1    0.0000    0.0000
83  -16.8672    7.0878  1    0.0000    0.0000
84  -16.6266    7.0879  1    0.0000    0.0000
85  -15.4981    6.6981  1    0.0000    0.0000
86  -14.2748    6.3478  1    0.0000    0.0000
87  -13.2599    6.2533  1    0.0000    0.0000
88  -11.8175    6.2760  1    0.0000    0.0000
89  -10.2577    6.1149  1    0.0000    0.0000
90   -8.5185    5.5300  1    0.0000    0.0000
91   -7.1282    5.1999  1    0.0000    0.0000
